sentence_number,position,l1_text,l2_text,transliteration,clause_count
1,1,Welcome!,いらっしゃいませ。,Irasshaimase.,1
2,2,How much is this?,これはいくらですか？,Kore wa ikura desu ka?,1
3,3,"Two, please.",ふたつください。,Futatsu kudasai.,1
4,4,Do you have milk?,牛乳はありますか？,Gyūnyū wa arimasu ka?,1
5,5,That's a bit pricey.,ちょっと高いですね。,Chotto takai desu ne.,1
6,6,I'll take this.,これをください。,Kore o kudasai.,1
7,7,Where is the bread?,パンはどこですか？,Pan wa doko desu ka?,1
8,8,"A bag, please.",袋をください。,Fukuro o kudasai.,1
9,9,Thank you very much.,ありがとうございます。,Arigatō gozaimasu.,1
10,10,I'll come again.,また来ます。,Mata kimasu.,1
